2019-06-21 13:58:27 427 INFO  Execut:42 - 调用get方法
2019-06-21 13:58:27 658 INFO  RestClient:37 - 开始发送get请求
2019-06-21 13:58:28 519 INFO  RestClient:39 - 发送请求成功，开始得到响应对象
2019-06-21 13:58:28 520 INFO  Execut:45 - 调用post方法
2019-06-21 13:58:28 649 INFO  Execut:51 - 开始执行用例
2019-06-21 13:58:29 482 INFO  RestClient:81 - 开始发送Post请求
2019-06-21 13:58:29 483 INFO  Execut:57 - 调用put方法
2019-06-21 13:58:29 484 INFO  Execut:63 - 开始执行用例
2019-06-21 13:58:30 298 INFO  RestClient:103 - 开始发送put请求
2019-06-21 13:58:30 299 INFO  Execut:70 - 调用delete方法
2019-06-21 13:58:30 308 INFO  RestClient:119 - 开始发送delete请求
2019-06-21 13:58:30 846 INFO  RestClient:121 - 发送请求成功，开始得到响应对象
2019-06-21 13:58:30 958 INFO  RestClient:131 - 解析，得到响应码200
2019-06-21 13:58:31 202 INFO  RestClient:131 - 解析，得到响应码201
2019-06-21 13:58:31 220 INFO  RestClient:131 - 解析，得到响应码200
2019-06-21 13:58:31 235 INFO  RestClient:131 - 解析，得到响应码204
